code,净值日期,累计净值,return
515650,2020-01-09,1.0328,0.015635755728193645
515650,2020-01-10,1.0402,0.007164988381100024
515650,2020-01-13,1.0499,0.009325129782734143
515650,2020-01-14,1.042,-0.007524526145347155
515650,2020-01-15,1.042,0.0
515650,2020-01-16,1.039,-0.0028790786948177383
515650,2020-01-17,1.0383,-0.0006737247353223452
515650,2020-01-20,1.0341,-0.004045073678127675
515650,2020-01-21,1.0096,-0.023692099410115075
515650,2020-01-22,1.0077,-0.0018819334389857945
515650,2020-01-23,0.9714,-0.03602262578148263
515650,2020-02-03,0.8934,-0.08029647930821504
515650,2020-02-04,0.9207,0.03055742108797843
515650,2020-02-05,0.934,0.014445530574562992
515650,2020-02-06,0.9509,0.018094218415417362
515650,2020-02-07,0.9536,0.0028394152907771364
515650,2020-02-10,0.95,-0.003775167785234901
515650,2020-02-11,0.9715,0.022631578947368558
515650,2020-02-12,0.9757,0.004323211528564075
515650,2020-02-13,0.9663,-0.009634108844931766
515650,2020-02-14,0.9662,-0.00010348752975275488
515650,2020-02-17,0.9775,0.011695301179879936
515650,2020-02-18,0.9726,-0.005012787723785217
515650,2020-02-19,0.9789,0.006477483035163489
515650,2020-02-20,1.0025,0.02410869343140254
515650,2020-02-21,0.9964,-0.006084788029925181
515650,2020-02-24,0.9835,-0.012946607788036801
515650,2020-02-25,0.9716,-0.012099644128113929
515650,2020-02-26,0.967,-0.00473445862494859
515650,2020-02-27,0.9791,0.012512926577042505
515650,2020-02-28,0.9462,-0.03360228781534058
515650,2020-03-02,0.9676,0.022616782921158318
515650,2020-03-03,0.9756,0.008267879288962332
515650,2020-03-04,0.9823,0.006867568675686719
515650,2020-03-05,1.0207,0.039091927109844216
515650,2020-03-06,1.0038,-0.01655726462231788
515650,2020-03-09,0.967,-0.036660689380354716
515650,2020-03-10,0.9935,0.027404343329886283
515650,2020-03-11,0.9859,-0.0076497232008052585
515650,2020-03-12,0.9621,-0.024140379348818408
515650,2020-03-13,0.9467,-0.01600665211516472
515650,2020-03-16,0.9063,-0.04267455371289741
515650,2020-03-17,0.8916,-0.01621979476994373
515650,2020-03-18,0.8786,-0.014580529385374463
515650,2020-03-19,0.8581,-0.02333257455042126
515650,2020-03-20,0.8834,0.02948374315347868
515650,2020-03-23,0.8539,-0.03339370613538595
515650,2020-03-24,0.8818,0.03267361517742118
515650,2020-03-25,0.9064,0.027897482422317932
515650,2020-03-26,0.9012,-0.005736981465136792
515650,2020-03-27,0.9117,0.011651131824234273
515650,2020-03-30,0.8982,-0.014807502467917066
515650,2020-03-31,0.9173,0.02126475172567366
515650,2020-04-01,0.9122,-0.005559795050692262
515650,2020-04-02,0.9254,0.01447051085288309
515650,2020-04-03,0.9252,-0.0002161227577263114
515650,2020-04-07,0.9495,0.026264591439688623
515650,2020-04-08,0.941,-0.008952080042127553
515650,2020-04-09,0.9443,0.0035069075451648057
515650,2020-04-10,0.9531,0.0093190723287091
515650,2020-04-13,0.9593,0.006505088658063318
515650,2020-04-14,0.9719,0.013134577295944805
